Date/Time Opened,Date/Time Closed,Case Last Modified Date,Status,Survey Request DateTime,Date site was turned over from BD to Ops,Resurvey Request Date,Actual Survey Date,On-site consultation actual date,Survey Uploaded DateTime,Survey Review outcome,Portal Review Date,Install Guide Creation Date,IG: Latest IG revision date,Hub Approval Sent Date,Approval: Form Sent Date,Approval: Received Date,Approval: Rejection Date,Date Trouble Ticket Created,Promised Date,Asset Load date,Failed Install Date,Gen 3 Approval Date,Installation Date,Provisioned Date,Activation Date,Removal Date,Scheduled Decommission date/time,Case Hold Date,Case Off Hold Date,CaseHold,Country Code,Site Survey Vendor/Supplier,Installation Vendor/Supplier,LayoutArrangement,Account Record Type,Case Record Type,#,Survey Cycle Time(Days),IG: Cycle time (days),Approval Cycle Time(Days),Install Cycle Time(Days),Overall Cycle Time,Provisioned with Installation,Installation Request Email Date Time
6/8/22 7:33,,7/18/23,Prepare property for installation,6/9/22 1:00,,,,,6/7/23 14:21,Approved,,,,,,7/18/23,,,,,,,,,,,,4/3/23,5/17/23,0,IT,IT - LAB68,IT - LAB68,MM,Location Locker/Counter,Locker Onboarding,1,,,,,,0,
2/20/23 6:57,4/3/23 3:10,7/7/23,Activated,,,,,,2/21/23 5:24,Approved,,,,,4/28/23,,,3/13/23,,,,,4/3/23,,4/3/23 3:10,,,,,0,ES,ES - Self survey,ES - Ricoh,MMM,Location Locker/Counter,Odin Onboarding EU,1,,,,,,0,3/14/23 2:01
1/20/21 0:22,7/20/21 13:00,5/30/23,Activated,2/9/21 1:02,,,,,6/30/21 5:15,Approved,,,,,,,,6/30/21,,,,,7/19/21,7/19/21,7/20/21 13:00,,,,,0,DE,DE - Tokheim,DE - Tokheim,MM,Location Locker/Counter,Locker Onboarding,1,,,,,161.46,0,7/1/21 1:12
6/17/20 5:15,7/31/20 13:25,5/30/23,Activated,7/6/20 22:00,,,,,7/13/20 7:31,Approved,,,,,,5/30/23,,7/27/20,7/31/20,,,,7/26/20,7/29/20,7/30/20 16:00,,,,,0,GB,GB - Ricoh UK Ltd,GB - Ricoh UK Ltd,AS,Location Locker/Counter,Locker Onboarding,1,,,,,23.75,1,7/27/20 22:00
8/25/21 6:57,4/4/22 5:50,5/11/23,Closed,8/25/21 15:00,,,,,4/1/22 3:07,,,,,,,,,4/1/22,,,,,4/1/22,,,,,,,0,DE,DE - NCR (Cardtronics),DE - NCR (Cardtronics),M,Dobby Onboarding EU,Locker Onboarding,1,,,,,,0,
2/28/22 19:39,4/12/22 18:24,5/30/23,Activated,2/28/22 5:00,,,3/3/22 5:00,,3/3/22 0:00,,,,,,,,,3/4/22,,3/4/22,,,4/12/22,4/12/22,10/18/22 18:06,4/12/22,,,,0,AU,AU - NCR (Cardtronics),AU - NCR (Cardtronics),ASA,Location Locker/Counter,Locker Onboarding,1,3,0,,39,232.5,1,3/4/22 1:00
7/12/22 15:00,2/10/23 9:59,7/13/23,Activated,7/12/22 12:00,,,7/20/22 12:00,7/20/22,12/15/22 7:59,Approved,,,12/15/22,,,7/13/23,,12/29/22,,12/28/22,,,2/9/23,2/9/23,2/9/23 12:00,,,,,0,US,US - NSA,US - NSA,AS,Location Locker/Counter NA,Locker Onboarding NA,1,8,-146,,43,212.04,1,
3/29/22 3:41,5/5/22 22:21,6/7/23,Closed,12/13/21 22:00,,,12/22/21 22:00,,1/7/22 0:00,Approved,1/18/22,,12/28/21,,1/18/22,,6/7/23,,,,,,,,,,,,,0,US,US - NSA,US - NSA,M,Location Locker/Counter NA,Locker Onboarding NA,1,9,-10,,,,0,
5/4/21 5:18,8/18/21 12:44,7/13/23,Closed,5/4/21 15:00,,,,,8/13/21 3:44,Approved,,,,,,,,8/13/21,8/17/21,,,,8/18/21,8/18/21,8/18/21 12:44,,6/14/23 15:00,5/15/23,6/2/23,0,DE,DE - BEM,DE - BEM,MM,Location Locker/Counter,Locker Onboarding,1,,,,,105.91,0,8/14/21 1:03
3/30/22 2:18,2/3/23 2:22,3/30/23,Closed,3/31/22 1:00,,,,,4/7/22 7:32,Approved,,,,,,,,,,,,,,,,,,5/30/22,3/30/23,0,GB,GB - Principle Link UK  Ltd,,,Location Locker/Counter,Locker Onboarding,1,,,,,,0,
7/15/21 1:25,3/1/22 1:51,10/4/22,Closed,7/19/21 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,0,DE,DE - NCR (Cardtronics),,,Location Locker/Counter,Locker Onboarding,1,,,,,,0,
7/6/23 0:09,,7/18/23,Wait for installation,7/7/23 0:01,,,,,7/11/23 7:11,Approved,,,,,,,,7/17/23,,,,,,,,,,,,0,IT,IT - Ricoh,IT - Ricoh,MMM,Location Locker/Counter,Odin Onboarding EU,1,,,,,,0,7/18/23 0:00
10/21/19 4:09,6/29/22 2:13,7/18/23,Activated,11/4/21 2:02,,,,,11/25/21 8:50,Approved,,,,,,,,6/16/22,,,,,6/23/22,,6/29/22 2:13,,,,,0,IT,IT - LAB68,IT - LAB68,MMM,Location Locker/Counter,Locker Onboarding,1,,,,,237.01,1,6/17/22 1:00
2/20/23 6:58,4/5/23 3:49,6/29/23,Activated,,,,,,2/21/23 5:24,Approved,,,,,4/28/23,,,3/13/23,,,,,4/5/23,,4/5/23 3:49,,,,,0,ES,ES - Self survey,ES - Ricoh,M,Location Locker/Counter,Odin Onboarding EU,1,,,,,,0,3/14/23 2:01
1/20/21 0:22,7/8/21 15:06,5/30/23,Activated,1/20/21 1:02,,,,,4/8/21 22:44,Approved,,,,,,,,4/9/21,,,,,6/27/21,6/27/21,7/8/21 15:06,,,,,0,DE,DE - Tokheim,DE - Tokheim,ASA,Location Locker/Counter,Locker Onboarding,1,,,,,169.54,0,4/9/21 1:02
1/21/21 5:44,10/28/21 9:05,7/5/23,Activated,3/6/21 1:02,,,,,,Approved,,,,,,,,10/20/21,,,,,10/25/21,,10/26/21 16:00,,,,,0,GB,GB - Ricoh UK Ltd,GB - Ricoh UK Ltd,MM,Location Locker/Counter,Locker Onboarding,1,,,,,234.58,0,10/21/21 1:03
4/1/22 2:58,4/10/22 0:31,7/17/23,Activated,,,,,,4/1/22 3:08,Approved,,,,,,,,4/1/22,,,,,4/1/22,4/29/22,4/10/22 0:31,,,,,0,DE,DE - NCR (Cardtronics),DE - NCR (Cardtronics),M,Dobby Onboarding EU,Dobby Onboarding EU,1,,,,,,0,4/5/22 1:53
3/1/22 18:47,3/23/22 19:22,5/30/23,Activated,3/1/22 5:00,,,3/4/22 5:00,,3/6/22 0:00,,,,,,,,,3/10/22,,3/10/22,,,3/23/22,3/23/22,10/18/22 18:06,3/23/22,,,,0,AU,AU - NCR (Cardtronics),AU - NCR (Cardtronics),AS,Location Locker/Counter,Locker Onboarding,1,3,0,,13,231.5,1,3/10/22 1:00
3/28/22 20:50,5/16/22 7:29,6/7/23,Closed,3/17/21 22:00,,,3/29/21 12:00,3/29/21,4/25/22 16:04,Approved,4/21/21,,4/20/21,,4/23/21,,,,,,,,,,,,,,,1,US,US - NSA,US - NSA,MM,Location Locker/Counter NA,Locker Onboarding NA,1,11.58,-370,,,,0,
2/3/23 14:49,,7/13/23,Set up software,2/3/23 12:00,,,2/10/23 12:00,2/10/23,6/7/23 14:24,Approved,,,2/13/23,,4/10/23,7/13/23,,6/15/23,,6/15/23,,,7/12/23,,,,,,,0,US,US - NSA,US - NSA,M,Location Locker/Counter NA,Locker Onboarding NA,1,7,-114,,27,,0,
5/24/23 8:18,,7/17/23,Approve product configuration,5/31/23 0:01,,,6/2/23 3:00,,6/6/23 6:06,Approved,,,,,,,,,,,,,,,,,,,,0,DE,DE - BEM,DE - BEM,Gen4_46_Lockers,Location Locker/Counter,Locker Onboarding,1,2.12,,,,,0,
3/16/20 9:52,4/27/20 5:09,10/4/22,Closed,3/25/20 22:00,,,,,3/30/20 10:14,,,,,,,,,,,,,,,,,,,,,0,GB,GB - Principle Link UK  Ltd,,,Location Locker/Counter,Locker Onboarding,1,,,,,,0,
7/15/21 1:25,3/1/22 1:51,10/4/22,Closed,7/19/21 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,0,DE,DE - NCR (Cardtronics),,,Location Locker/Counter,Locker Onboarding,1,,,,,,0,
7/14/23 7:58,,7/18/23,Schedule consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,0,IT,IT - Ricoh,IT - Ricoh,,Location Locker/Counter,Locker Onboarding,1,,,,,,0,
10/21/19 3:53,10/12/21 9:17,7/18/23,Activated,7/30/21 1:49,,,,,8/30/21 6:32,Approved,,,,,,,,9/3/21,,,,,9/30/21,10/4/21,10/12/21 9:17,,,,,0,IT,IT - LAB68,IT - LAB68,ASA,Location Locker/Counter,Locker Onboarding,1,,,,,74.31,0,
2/20/23 6:59,4/5/23 3:48,6/29/23,Activated,,,,,,2/21/23 5:24,Approved,,,,,4/28/23,,,3/13/23,,,,,4/4/23,,4/4/23 3:48,,,,,0,ES,ES - Self survey,ES - Ricoh,M,Location Locker/Counter,Odin Onboarding EU,1,,,,,,0,3/14/23 2:01
1/20/21 0:22,7/8/21 8:28,5/30/23,Activated,2/9/21 1:02,,,,,4/8/21 22:44,Approved,,,,,,,,4/9/21,,,,,7/4/21,7/4/21,7/8/21 8:28,,,,,0,DE,DE - Tokheim,DE - Tokheim,MM,Location Locker/Counter,Locker Onboarding,1,,,,,149.27,0,4/9/21 1:02
1/21/21 5:44,11/6/21 14:27,7/5/23,Activated,3/18/21 2:01,,,,,,Approved,,,,,,,,10/20/21,,,,,11/5/21,,11/4/21 17:00,,,,,0,GB,GB - Ricoh UK Ltd,GB - Ricoh UK Ltd,MM,Location Locker/Counter,Locker Onboarding,1,,,,,231.62,0,10/21/21 1:03
3/14/22 14:27,3/17/22 0:37,5/11/23,Activated,,,,,,3/14/22 14:45,Approved,,,,,,,,3/15/22,,,,,3/16/22,3/21/22,3/17/22 0:37,,,,,0,DE,DE - NCR (Cardtronics),DE - NCR (Cardtronics),M,Dobby Onboarding EU,Dobby Onboarding EU,1,,,,,,0,3/15/22 2:00
2/13/22 23:12,6/27/22 23:07,11/29/22,Closed,2/14/22 5:00,,,2/24/22 5:00,,2/24/22 0:00,,,,,,,,,,,,,,,,,,,,,0,AU,AU - NCR (Cardtronics),AU - NCR (Cardtronics),,Location Locker/Counter,Locker Onboarding,1,10,0,,,,0,
3/29/22 3:08,5/16/22 7:29,6/7/23,Closed,3/17/21 22:00,,,3/31/21 12:00,3/31/21,4/25/22 16:03,Approved,4/15/21,,4/1/21,,4/23/21,,,,,,,,,,,,,,,1,US,US - NSA,US - NSA,MM,Location Locker/Counter NA,Locker Onboarding NA,1,13.58,-389,,,,0,
3/29/22 3:03,5/3/22 12:24,6/7/23,Closed,11/22/21 22:00,,,12/9/21 22:00,,12/7/21 0:00,Approved,12/22/21,,12/7/21,,1/7/22,6/7/23,,,,,,,,,,,,,,0,US,US - NSA,US - NSA,M,Location Locker/Counter NA,Locker Onboarding NA,1,17,0,,,,0,
5/13/22 6:04,4/27/23 4:58,5/30/23,Activated,5/17/22 1:00,,,,,3/16/23 6:48,Approved,,,,,12/21/22,5/31/23,,3/16/23,,,,,4/27/23,4/27/23,4/27/23 4:58,,,7/20/22,3/8/23,0,DE,DE - BEM,DE - BEM,M,Location Locker/Counter,Locker Onboarding,1,,,338,,345.17,0,3/17/23 2:01
3/16/20 9:52,10/30/20 10:54,10/4/22,Closed,3/25/20 22:00,,,,,3/30/20 10:14,Approved,,,,,,,,,,,,,,,,,,,,0,GB,GB - Principle Link UK  Ltd,,,Location Locker/Counter,Locker Onboarding,1,,,,,,0,
7/15/21 2:44,3/1/22 2:17,10/4/22,Closed,7/19/21 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,0,DE,DE - NCR (Cardtronics),,,Location Locker/Counter,Locker Onboarding,1,,,,,,0,
